pond,year,larv_density,med_prey,large_prey,vert_pred_dens,invert_pred,plankton,water_temp,DO,nitrates,pH,salinity,dist_to_breed,chlorophyll,turbidity,emergent_veg,conductivity,depth,suitable_598_split,suitable_598,log_larv_dens,log_med_prey,log_large_prey,vert_pred,log_invert_pred,log_plankton,log_water_temp,log_DO,log_nitrates,log_pH,log_salinity,log_dist_to_breed,sqrt_chlorophyll,log_turbidity,sqr_emergent_veg,azolla
Seascape 3,2021,0.853658537,2.7777778,4.0625,0,0.703125,19.44444444,12.9,0.8,3.12,7.72,0.1,385.4,165.5,17.11,80,218.2,75,455400,910800,-0.066199579,0.57723641,0.615862413,0,-0.145965206,1.310575313,1.11058971,-0.070581074,0.494154594,0.8876173,-0.698970004,2.58591171,12.86468033,1.240524288,8.94427191,0
Tucker,2021,0,0,1.442857143,1.757142857,0.128571429,726.6666667,19,4.1,3.67,7.09,0,1872,178.2,3.712,20,113.4,90,1097100,1120500,-2.304490568,0,0.178839968,1,-0.853871964,2.861932481,1.278753601,0.618048097,0.564666064,0.850646235,-1,3.272305844,13.34915728,0.602168551,4.472135955,0
Upper Cattail,2021,0,1,58.17142857,0,0.114285714,7696,18.8,3.22,3.79,8.35,0.2,32.81,1013,32.17,0,456.2,45,396900,832500,-2.304490568,0.301029996,1.765207162,0,-0.90061537,3.886321487,1.274157849,0.514547753,0.57863921,0.921686476,-0.522878745,1.51600623,31.82766093,1.511335136,0,0
Delaney,2021,0,18,5.571428571,0,0,779,21.3,7.2,4.43,7.69,0,371.5,329.6,5.327,35,169.3,40,974700,1012500,-2.304490568,1.278753601,0.751132408,0,-1.942008069,2.892094603,1.328379603,0.860338007,0.646403726,0.88592634,-1,2.569958818,18.15488915,0.749427099,5.916079783,0
McClusky Slough,2022,0,0,0,0.157142857,0,82,19.2,7.62,4.53,8.32,0.5,4536,431.1,23.27,10,973,91,495000,495000,-2.304490568,0,-1.176091257,1,-1.942008069,1.919078092,1.283301229,0.884795364,0.656098202,0.920123326,-0.22184875,3.656673046,20.76294777,1.372156852,3.16227766,0
Seascape 2,2021,0.033783784,26.315789,0.37037037,0,0.694444444,310.5263158,12.3,1.27,4.54,7.34,0,347,139.8,2.918,95,142.4,60,530100,662400,-1.411794412,1.436413749,-0.359481757,0,-0.151273421,2.493494739,1.089905111,0.120573931,0.657055853,0.86569606,-1,2.540329475,11.823705,0.50609896,9.746794345,0
McClusky Slough,2021,0,0,0,0.414285714,0,62,21,10.7,5,8.5,0.8,4536,0,23.21,10,1607,70,495000,495000,-2.304490568,0,-1.176091257,1,-1.942008069,1.799340549,1.322219295,1.031408464,0.698970004,0.929418926,-0.045757491,3.656673046,0,1.371049381,3.16227766,0
Buena Vista 2,2022,0,3,0.257142857,0,0.028571429,1160,19.5,8.7,5.23,7.79,0.1,618.4,171.4,15.31,3,244,120,827100,992700,-2.304490568,0.602059991,-0.489710382,0,-1.397940009,3.06483222,1.290034611,0.942008053,0.718501689,0.891537458,-0.698970004,2.791269481,13.09198228,1.193096758,1.732050808,0
Ellicott,2021,0.257142857,0,12.01428571,0.042857143,0.1,10744.18605,18.2,8.81,5.34,7.87,0.1,385,2429,23.57,60,246.1,35,671400,840600,-0.58152772,0,1.082101172,1,-0.953003439,4.03121394,1.260071388,0.947433722,0.727541257,0.895974732,-0.698970004,2.58546073,49.28488612,1.377652237,7.745966692,0
Tucker,2024,0,40,6.778846154,1.057692308,2.115384615,1905.454545,18.4,8.18,6.36,8.4,0,1872,110.1,1.141,15,115.1,146.304,1097100,1120500,-2.304490568,1.612783857,0.835405988,1,0.327729344,3.280226455,1.264817823,0.915399835,0.803457116,0.924279286,-1,3.272305844,10.49285471,0.155336038,3.872983346,0
